Reporting,Owner,Installation Date,Station Name,,Adresses,Site Type,Latitude,Longitude,Council District,Agreement determined Neighborhood,Base Non-Bolted,Base Bolted,Power Type,Board Type,Aircard Type,AC Plugin,Dock,Bikes Ordered via TIP,Bikes Ordered via HBS,Method of Insurance,Station Count ,Dock Count,Bike Count,Notes,Bike to Dock Ratio,METRO?,Sponsor,Sponsor Amt Pd,"BTT
Installed"
TIP,COH,12/19/2019,TMC Innovation,2 Suspended,"2450 Holcombe Blvd., Houston TX 77021",Private Property,29.70377,-95.3822,D,TMC,,,DC,,,,14,,,,,,,,,,,,
TIP,COH,10/23/2018,TMC Pressler & Bertner,2 Suspended,"1200 Pressler St, Houston TX 77030",Private Property,29.70447,-95.39884,D,TMC,,,DC,1.5 DL,Feeney 4G,N/A,13,,,,,,,,,,,,
TIP,COH,12/19/2019,TMC Smith Lands METRORail Parking Lot,2 Suspended,"7800 Greenbriar Dr. Houston, TX 77030",Private Property,29.69684,-95.40512,,TMC,,,DC,,,,22,,,,,,,,,Y,,,
TIP,COH,10/23/2018,UT Research Park,2 Suspended,"East Road, Houston, TX 77054",Private Property,29.69384,-95.39421,D,TMC,,,DC,1.5 DL,Feeney 4G,N/A,22,,,,,,,,,,,,
TIP,COH,10/24/2018,UTMDA 1MC Bertner & Braeswood,2 Suspended,"7007 Bertner Ave, Houston TX 77030",Private Property,29.70027,-95.39869,D,TMC,,,DC,1.5 DL,Feeney 4G,N/A,18,,,,,,,,,,,,
TIP,COH,10/25/2018,UTMDA Main Campus MDA Blvd,2 Suspended,"6499 MD Anderson Blvd, Houston TX 77030",Private Property,29.70758,-95.39566,D,TMC,,,DC,1.5 DL,Feeney 4G,N/A,18,,,,,,,,,,,,
PC1,PC1,11/30/2021,Washington & Mentor ,2 Suspended,"1002 Washington Ave, Houston, TX 77002",ROW,29.766608,-95.368168,,Washington Corridor,5,N/A,DC,,Inseego DS,N/A,9,,,,,,,,,,PC1,,
,COH,3/25/2013,Freed Library,2 Suspended,"4100 Montrose, Houston, TX 77006",ROW,29.73544502,-95.39156342,C,Montrose,N/A,5,AC,1.5,Verizon 3G,Freed Library,9,5,,,,,,,,Y,,,
,HBS,5/14/2021,Magnolia Transit Center,2 Suspended,"6948 Harrisburg Blvd., Houston, TX 77011",Private Property,29.735554,-95.3025,,Greater East End,N/A,4,AC,,Inseego DS,Metro Transit Center,7,,,,,,,,,Y,,,
TIP,COH,3/6/2019,Saint Arnold Brewing Company,2 Suspended,"2000 Lyons Ave., Houston, TX 77020",ROW,29.77155,-95.34773,B,Near Northside,6,N/A,AC,1.5 DL,Feeney 4G,Call brewery for maintenance,11,9,,,,,,,,,,,
TIP,COH,11/27/2018,TMC Garage 8,2 Suspended,"2151 W. Holcombe, Houston TX 77030",Private Property,29.70604,-95.40801,D,TMC,,,AC,1.5 DL,Feeney 4G,,15,,,,,,,,,Y,,,
TIP,COH,10/24/2017,Centennial Gardens,,"1500 Hermann Dr., Houston, TX 77004",Park,29.720196,-95.386523,D,Hermann Park,N/A,7,DC ,1.5 DL,Verizon 3G,N/A,13,0,,,,,,,,,,,
